Place_id,Title,Category,Distance,Rating,Closed,Timing,Price
TB-1,Bangalore Palace,Heritage,0,4.2,Monday,10:00-17:30,863
TB-2,Lalbagh,Nature,7.3,4.4,Nil,8:00-18:00,781
TB-3,Nandi Hills,"Nature,Adventure",60,4,Nil,10:00-18:30,1718
TB-4,Tipu Sultan's Summer Palace,Heritage,3,3.9,Nil,10:00-17:30,606
TB-5,Cubbon Park,Nature,3.4,4.4,Thursday,6:00-18:00,665
TB-6,National Gallery Of Modern Art,Museum,2.9,4.4,Monday,11:00-18:00,1596
TB-7,Ulsoor Lake,Lake,4,4.1,Wednesday,6:00-20:00,1460
TB-8,Government Museum,"Museum,Heritage",6.2,4.2,Monday,10:00-17:00,1530
TB-9,Vidhana Soudha,Heritage,2.8,4.6,"Saturday,Sunday",9:00-17:00,907
TB-10,Krishna Raja Market,Shopping,6.9,4,Nil,7:00-18:00,509
TB-11,Devanahalli Fort,Heritage,34,3.9,Nil,00:00-11:59,941
TB-12,Janapada Loka,Museum,54.8,4,Nil,9:00-17:30,1788
TB-13,Sankey Tank,"Lake,Adventure",2.8,4.5,Friday,6:00-20:00,794
TB-14,Venkatappa Art Gallery,Museum,5.2,4.2,Monday,10:00-17:00,578
TB-15,Attara Kacheri,Museum,4.1,4.4,Sunday,10:00-17:00,1715
TB-16,Wonderla Amusement Park,Adventure,6.1,4.5,Nil,11:00-18:00,1714
TB-17,Commercial Street,Shopping,5.5,4.8,Nil,11:00-22:00,996
TB-18,Iskon Temple,Religious,8.3,4.6,Nil,4:15–5:15,1100
TB-19,Innovative Film City,Adventure,39.2,3.5,Nil,10:00-19:00,988
TB-20,Jawaharlal Nehru Planeterium,"Museum,Educational",3.4,4.4,Monday,10:00-17:30,1800
TB-21,HAL Aerospace Museum,"Museum,Educational",14.3,4.4,Nil,9:00-16:30,1037
TB-22,Bannerghatta National Park,"Nature, Adventure,Museum",26.6,4.2,Tuesday,9:30–21:00,1251
TB-23,UB City Mall,Shopping,5.2,4.5,Nil,11:00-21:00,1657
TB-24,Play Arena,Adventure,18.7,4.3,Nil,10:00-22:00,1762
TB-25,Lumbini Garden,Nature,20,3.5,Nil,11:00-19:00,1449
TB-26,Visvesvaraya Industrial and Technological Museum,"Educational,Museum",4,4.5,Nil,9:30-18:00,1568
TB-27,Phoenix Marketcity Bangalore [187][188],Shopping,9,4.4,Nil,11:00-21:00,1327
TB-28,Inorbit Mall Bangalore [189],Shopping,12,4.2,Nil,11:00-21:00,1190
TB-29,Lido Mall,Shopping,11,4.5,Nil,11:00-21:00,1206
TB-30,Leela Galleria[190],Shopping,5,4.3,Nil,11:00-21:00,679
TB-31,The Forum Value Mall,Shopping,27,3.5,Nil,11:00-21:00,1271
TB-32,Garuda Mall,Shopping,18,4.5,Nil,11:00-21:00,654
TB-33,Bangalore Central,Shopping,16,4.4,Nil,11:00-21:00,1133
TB-34,Gopalan Mall,Shopping,12,4.2,Nil,11:00-21:00,883
TB-35,Total Mall,Shopping,8,4.5,Nil,11:00-21:00,1598
TB-36,Garuda Swagath Mall,Shopping,15,4.28,Nil,11:00-21:00,754
